Location,Room,Number_of_guest,bed_type,Number_of_bed,Number_of_bath,wifi,Air_cond,Kitchen,Self_check_in,Rating,Price_in_MYR,Price_in_MYR_per_guest
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.86,85.5,21.375
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,True,False,4.77,117.0,58.5
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1,True,True,True,True,4.95,157.5,78.75
Kuala Lumpur,Entire serviced apartment,6, 3 bedrooms,3.0,2,True,True,True,False,,49.5,8.25
Kuala Lumpur,Hotel room,2, 1 bedroom,1.0,1,True,True,False,True,4.51,58.5,29.25
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,1.0,1.5,False,True,False,True,4.74,85.5,42.75
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,0.0,1,True,True,True,True,,58.5,29.25
Kuala Lumpur,Entire rental unit,3, 1 bedroom,2.0,1,True,True,False,True,4.64,45.0,15.0
Bukit Bintang,Entire condominium (condo),3, Studio,1.0,1,True,True,True,True,4.74,103.5,34.5
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,False,4.82,135.0,67.5
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,False,4.81,117.0,58.5
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.67,180.0,60.0
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,False,4.74,144.0,72.0
Kuala Lumpur,Entire rental unit,2, Studio,0.0,1,True,True,True,True,4.66,103.5,51.75
Kuala Lumpur,Entire condominium (condo),4, Studio,3.0,1,True,True,True,False,4.62,103.5,25.875
Kuala Lumpur,Entire condominium (condo),3, 1 bedroom,1.0,1.5,True,True,True,True,4.78,72.0,24.0
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1.5,True,True,True,True,4.5,130.5,65.25
Kuala Lumpur,Entire rental unit,4, 1 bedroom,2.0,1,True,True,True,True,4.82,94.5,23.625
Kuala Lumpur,Entire rental unit,4, 1 bedroom,2.0,1,True,True,False,True,4.71,72.0,18.0
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,2,True,True,True,True,4.52,94.5,47.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.83,166.5,41.625
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.67,85.5,21.375
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,,1,True,True,True,True,,49.5,24.75
Kuala Lumpur,Entire loft,3, 1 bedroom,1.0,1,True,True,False,True,4.45,45.0,15.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.8,99.0,24.75
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.91,63.0,31.5
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.71,157.5,52.5
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.71,108.0,27.0
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,5.0,108.0,27.0
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.9,108.0,54.0
Kuala Lumpur,Entire condominium (condo),6, 1 bedroom,2.0,1,True,True,True,True,4.89,171.0,28.5
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,False,5.0,130.5,65.25
Kuala Lumpur,Entire rental unit,4, 2 bedrooms,4.0,2,True,True,True,True,4.78,193.5,48.375
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.77,144.0,36.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.67,94.5,23.625
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.95,189.0,63.0
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.75,85.5,21.375
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.78,117.0,29.25
Federal Territory of Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.78,99.0,49.5
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.84,103.5,25.875
Kuala Lumpur,Entire serviced apartment,2, Studio,2.0,1,True,True,True,True,4.69,81.0,40.5
Kuala Lumpur,Entire rental unit,4, 1 bedroom,2.0,1,True,True,True,True,4.81,63.0,15.75
Federal Territory of Kuala Lumpur,Private room,2, 1 bedroom,1.0,1,True,True,True,True,4.86,67.5,33.75
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1,True,True,True,True,4.39,130.5,65.25
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.77,81.0,20.25
Kuala Lumpur,Entire condominium (condo),4, Studio,1.0,1,True,True,True,False,4.62,103.5,25.875
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,True,4.97,121.5,60.75
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1,True,True,False,True,4.5,99.0,33.0
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,True,4.89,108.0,54.0
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,1.0,1,True,True,True,True,5.0,153.0,76.5
Kuala Lumpur,Entire rental unit,5, Studio,4.0,1,True,True,True,True,4.78,76.5,15.3
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,True,False,4.8,103.5,51.75
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.94,162.0,40.5
Kuala Lumpur,Entire rental unit,3, Studio,2.0,1,True,True,True,True,4.94,94.5,31.5
Kuala Lumpur,Entire rental unit,5, 1 bedroom,1.0,1.5,True,True,True,True,4.83,90.0,18.0
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1,True,True,False,True,4.61,45.0,15.0
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1.5,True,True,True,False,4.7,94.5,47.25
Kuala Lumpur,Entire condominium (condo),6, 1 bedroom,3.0,1,True,True,True,True,4.82,175.5,29.25
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.54,193.5,64.5
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.8,139.5,34.875
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,,85.5,21.375
Kuala Lumpur,Entire rental unit,3, 1 bedroom,2.0,2,True,True,True,True,4.95,117.0,39.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.8,94.5,23.625
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.8,117.0,58.5
Kuala Lumpur,Entire serviced apartment,4, 1 bedroom,1.0,1,True,True,True,False,4.81,81.0,20.25
Kuala Lumpur,Entire serviced apartment,3, Studio,2.0,1,True,True,True,True,4.74,103.5,34.5
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,5.0,112.5,28.125
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1,True,True,True,True,4.84,153.0,76.5
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.77,117.0,29.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.75,139.5,34.875
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.77,171.0,57.0
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.72,189.0,63.0
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.92,121.5,30.375
Kuala Lumpur,Entire rental unit,6, 1 bedroom,3.0,1,True,True,True,True,4.7,76.5,12.75
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.69,144.0,36.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,False,4.68,130.5,65.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.83,175.5,43.875
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,5.0,85.5,21.375
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.61,162.0,54.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.86,103.5,25.875
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,2.0,1,True,True,True,True,4.78,135.0,33.75
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,1.0,1,True,True,True,True,4.8,153.0,76.5
Federal Territory of Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.9,112.5,28.125
Federal Territory of Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.88,126.0,42.0
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.95,112.5,28.125
Federal Territory of Kuala Lumpur,Entire serviced apartment,4, Studio,2.0,1,True,True,True,True,4.79,112.5,28.125
Kuala Lumpur,Entire rental unit,5, 1 bedroom,1.0,1,True,True,True,True,4.46,81.0,16.2
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.48,90.0,45.0
Kuala Lumpur,Entire condominium (condo),3, Studio,1.0,1,True,True,True,True,4.9,148.5,49.5
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1.5,True,True,True,True,4.56,130.5,65.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,5.0,90.0,22.5
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.86,94.5,23.625
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1,True,True,False,True,4.69,45.0,15.0
Kuala Lumpur,Entire condominium (condo),3, 1 bedroom,2.0,1,True,True,True,True,4.8,94.5,31.5
Federal Territory of Kuala Lumpur,Entire rental unit,3, 1 bedroom,2.0,1,True,True,True,True,4.85,108.0,36.0
Kuala Lumpur,Entire loft,4, 1 bedroom,2.0,1,True,True,False,True,4.69,49.5,12.375
Kuala Lumpur,Entire rental unit,3, Studio,2.0,1,True,True,True,True,4.93,58.5,19.5
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.75,90.0,22.5
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.77,117.0,58.5
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.84,171.0,57.0
Kuala Lumpur,Entire serviced apartment,2, Studio,2.0,1,True,True,True,True,4.87,81.0,40.5
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.84,175.5,43.875
Kuala Lumpur,Entire rental unit,5, Studio,1.0,1,True,True,True,True,4.84,108.0,21.6
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,True,4.85,148.5,74.25
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.95,175.5,43.875
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,0.0,1,True,True,True,True,,76.5,38.25
Kuala Lumpur,Entire rental unit,7, 1 bedroom,1.0,1,True,True,True,True,4.88,175.5,25.071428571428573
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.77,144.0,36.0
Kuala Lumpur,Entire serviced apartment,3, 1 bedroom,1.0,1.5,True,True,True,True,4.62,81.0,27.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.82,108.0,27.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,True,4.78,144.0,72.0
Federal Territory of Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.65,99.0,49.5
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,Half-bath,True,True,True,True,4.93,108.0,54.0
Federal Territory of Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.87,121.5,30.375
Kuala Lumpur,Entire rental unit,5, Studio,4.0,1,True,True,True,True,4.63,72.0,14.4
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,True,4.83,157.5,78.75
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,2.0,1.5,True,True,True,True,4.77,67.5,16.875
Kuala Lumpur,Entire condominium (condo),2, 1 bedroom,1.0,1,True,True,True,False,4.83,126.0,63.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.47,94.5,23.625
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,4.15,85.5,21.375
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.83,121.5,30.375
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.67,112.5,28.125
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,5.0,94.5,23.625
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.97,139.5,46.5
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.77,193.5,64.5
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.94,117.0,58.5
Kuala Lumpur,Entire rental unit,4, 2 bedrooms,2.0,2,True,True,True,True,5.0,220.5,55.125
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,False,5.0,153.0,38.25
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,True,5.0,144.0,72.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,True,True,4.87,112.5,56.25
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.72,139.5,34.875
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.91,121.5,30.375
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.79,112.5,28.125
Federal Territory of Kuala Lumpur,Entire condominium (condo),3, Studio,2.0,1,True,True,True,False,4.76,99.0,33.0
Kampung Baru,Entire serviced apartment,2, Studio,1.0,1,True,True,True,False,4.96,94.5,47.25
